ARI.RNA (ATAC down)	ARI level 1.RNA (ATAC down)	AMI.RNA (ATAC down)	AMI level 1.RNA (ATAC down)	graph cLISI.RNA (ATAC down)	graph cLISI level 1.RNA (ATAC down)	isolated labels ASW.RNA (ATAC down)	isolated labels ASW level 1.RNA (ATAC down)	ARI.ATAC (ATAC down)	ARI level 1.ATAC (ATAC down)	AMI.ATAC (ATAC down)	AMI level 1.ATAC (ATAC down)	graph cLISI.ATAC (ATAC down)	graph cLISI level 1.ATAC (ATAC down)	isolated labels ASW.ATAC (ATAC down)	isolated labels ASW level 1.ATAC (ATAC down)	FOSCTTM (ATAC down)	Cell match (ATAC down)	Cell type match (ATAC down)	Cell type level 1 match (ATAC down)	ARI.RNA (RNA down)	ARI level 1.RNA (RNA down)	AMI.RNA (RNA down)	AMI level 1.RNA (RNA down)	graph cLISI.RNA (RNA down)	graph cLISI level 1.RNA (RNA down)	isolated labels ASW.RNA (RNA down)	isolated labels ASW level 1.RNA (RNA down)	ARI.ATAC (RNA down)	ARI level 1.ATAC (RNA down)	AMI.ATAC (RNA down)	AMI level 1.ATAC (RNA down)	graph cLISI.ATAC (RNA down)	graph cLISI level 1.ATAC (RNA down)	isolated labels ASW.ATAC (RNA down)	isolated labels ASW level 1.ATAC (RNA down)	FOSCTTM (RNA down)	Cell match (RNA down)	Cell type match (RNA down)	Cell type level 1 match (RNA down)	ARI.RNA (Both down)	ARI level 1.RNA (Both down)	AMI.RNA (Both down)	AMI level 1.RNA (Both down)	graph cLISI.RNA (Both down)	graph cLISI level 1.RNA (Both down)	isolated labels ASW.RNA (Both down)	isolated labels ASW level 1.RNA (Both down)	ARI.ATAC (Both down)	ARI level 1.ATAC (Both down)	AMI.ATAC (Both down)	AMI level 1.ATAC (Both down)	graph cLISI.ATAC (Both down)	graph cLISI level 1.ATAC (Both down)	isolated labels ASW.ATAC (Both down)	isolated labels ASW level 1.ATAC (Both down)	FOSCTTM (Both down)	Cell match (Both down)	Cell type match (Both down)	Cell type level 1 match (Both down)
bindSC	0.323503201115839	0.395159099620192	0.490293913706685	0.504860880491556	0.92874546281374	0.88567257486019	0.486841761279725	0.406508082460715	0.276355642455317	0.307315281375053	0.506002079866973	0.516494514113776	0.938385283320742	0.914629622145102	0.548952200399927	0.575581347532593	0.183665150410782	0.0012998266897746	0.320046216060081	0.529390525707683	0.178090534298142	0.230456435108281	0.281314354804118	0.296885568895979	0.872478099211922	0.803862904424756	0.446339990842743	0.399825130869637	0.316597102351565	0.317223519053675	0.567787536370215	0.56289420779728	0.9587588607046	0.964182730739796	0.553172370676762	0.590949922223658	0.213270092455482	0.0005054881571346	0.325895436164067	0.487073945696129	0.126297285288032	0.154996435655698	0.23828121721028	0.245858520253669	0.852932058534242	0.764916759224954	0.389087777831211	0.413907293972201	0.267796564516556	0.302229322319595	0.503324521916461	0.52751641754908	0.939985551084173	0.912908618814164	0.536419616169449	0.581089499702324	0.250618083068095	0.0010831889081455	0.262131715771231	0.433997689196996
GLUE	0.632313037761085	0.541989780348482	0.748816833684884	0.690958032106634	0.980631901168898	0.983169278375272	0.520348460981008	0.509128089055876	0.551904746235456	0.609215625650527	0.679629833621348	0.684332255014236	0.961679337009262	0.966883497045126	0.457319800711434	0.476195370172649	0.0677265272775877	0.0069324090121317	0.684647602541883	0.823512420566147	0.47033535233589	0.548042957083795	0.609067786834227	0.619678532427497	0.945967205077079	0.932732271346542	0.47492088224785	0.48229756288191	0.606339198485682	0.599369324684121	0.72695005234656	0.71047667967417	0.969658982281737	0.973518227600589	0.458918594437123	0.496326237738221	0.0868924526283715	0.0039716926632004	0.620883882149047	0.765958983246678	0.443256947808955	0.59957533669182	0.605361173868362	0.657637308083467	0.92410091999378	0.88122666644677	0.517323113214809	0.500449505259744	0.461087581484262	0.594302581150461	0.620557868986407	0.65671830595493	0.939532011554106	0.917550043392175	0.515612178067146	0.51827834182873	0.161816450020542	0.0023108030040439	0.518341998844599	0.706022530329289
LIGER iNMF	0.528301598997648	0.48656702154319	0.718370853444017	0.672117742284896	0.978140965968514	0.982271062646905	0.55346700802446	0.527433026303568	0.294550962348026	0.413722319747352	0.381928245933556	0.422961546299005	0.888351140250067	0.831003487135572	0.484558119872179	0.439817345143745	0.288777850032089	0.0006499133448873	0.226242056614674	0.401718659734258	0.112990129408057	0.121081752061702	0.218077892704912	0.207113237112695	0.842454605010642	0.724900057518002	0.376516928196378	0.414740717959683	0.16953655150236	0.222343228607898	0.216918604695792	0.236213971041887	0.83236440806765	0.720986952572574	0.464551079781906	0.428074327695353	0.371668323259447	0.0004332755632582	0.193313113807048	0.305098209127672	0.123131623701155	0.151400306314267	0.219205319431039	0.219699885705989	0.854945129635163	0.742258599986307	0.394413694326718	0.382420512225719	0.0143410661120853	0.0158991497636148	0.0339630353077044	0.0340533792151875	0.727481530308369	0.522776025613245	0.438907373749892	0.450544013783535	0.436273449694479	0.00079433853264	0.171360485268631	0.271591565569035
LIGER online iNMF	0.415778083537882	0.43628981391022	0.636203115504057	0.616106102963219	0.957031299797491	0.950966866453895	0.477556466197583	0.518471689837512	0.0988377471366342	0.139498822873275	0.173875110516789	0.186834403252479	0.811673376732982	0.687160861473401	0.451141994340528	0.450159892682894	0.353384551294053	0.0005777007510109	0.297732524552282	0.458477758521086	0.100233302240062	0.129587727673036	0.181293586586294	0.18307199269823	0.830966830912391	0.716661481693445	0.401602352791487	0.369311129561444	0.122826732439649	0.163116477241567	0.184650244861184	0.201139537756583	0.80468584715332	0.677517820193369	0.419700668716149	0.432900204894531	0.410032118960299	0.0002888503755054	0.20024552281918	0.319396302715193	0.0799223006518938	0.10737031373334	0.172427508473976	0.171919328541174	0.826842081950108	0.709167730431613	0.405834474473016	0.370681325112899	0.0156728516027192	0.0190095544246924	0.0372951511907124	0.0390404938342181	0.711511141980134	0.510983746285159	0.476848868412066	0.411731745731998	0.461801008373157	0.0002166377816291	0.16580011554015	0.261842865395725
LIGER UINMF	0.506191506381473	0.455212519878651	0.699637468628917	0.657339401832067	0.98047881542339	0.982982007845892	0.57844803972187	0.517242213847236	0.27052932270884	0.366268126860641	0.372248717024343	0.41126500862414	0.89479669150678	0.845329387519807	0.395980054890993	0.414564303967912	0.382658727536502	0.0004332755632582	0.275635470826112	0.432336799537839	0.144579204512829	0.160642034738367	0.227767952548579	0.227820218334679	0.839285262356151	0.725229820923268	0.294702717645132	0.350051934039762	0.412482052023169	0.521168797901823	0.531979019004629	0.572439560962389	0.914967171579945	0.887465497222385	0.490119682132552	0.474603045184039	0.399177097652786	0.0002888503755054	0.174393414211438	0.278451761987291	0.0988256900875893	0.119669533255951	0.172376861752291	0.167713935088644	0.831865811869105	0.708633346367648	0.397022559529804	0.382934295390421	0.0104030990291741	0.0106639080963043	0.0247001688661754	0.0258415770919121	0.715690676985177	0.494818037614164	0.43589772298588	0.425451656572879	0.4587712812308	0.0002166377816291	0.163128249566724	0.263287117273252
MaxFuse	0.474435181416551	0.563972653086452	0.623298919086692	0.655127069270793	0.90798901961147	0.831614552202465	0.588671854209577	0.530786688005534	0.348145646259441	0.47736438131933	0.520758502726386	0.563833151401736	0.929793942388707	0.894734778208396	0.522530563821107	0.607002584839982	0.297070200319654	0.0010109763142692	0.433203350664356	0.601169844020797	0.390726426201596	0.464887343943198	0.506254794504387	0.527846055197839	0.894453191750179	0.837064834249028	0.596776095670786	0.482447416128329	0.540518129309026	0.49639314133615	0.694634951499723	0.66738361917993	0.978287593185492	0.983582684854685	0.52940047752565	0.632240047158261	0.291327181955045	0.001372039283651	0.557192374350087	0.704433853264009	0.351077507488251	0.410766690724947	0.413611680334074	0.435553130605359	0.846230747505567	0.733572178604045	0.579401918508382	0.482424739818923	0.338454949503638	0.437635899725346	0.510776711225892	0.548946611226437	0.932474892289129	0.89567768305064	0.508444642693097	0.615855274112963	0.337837651237618	0.0012276140958983	0.390814558058926	0.565135759676488
MultiMAP	0.223263529805785	0.212828738966115	0.533708284934237	0.523688460043367	0.957847051423671	0.962489676923019	0.649416244926044	0.5387887290778	0.165156550941466	0.171447653907643	0.396484812999007	0.401425036197026	0.928084575176538	0.88239064140447	0.46752866734023	0.563985618517523	0.230601448723969	0.0010109763142692	0.402224147891392	0.591854419410745	0.215286424609118	0.22668476029007	0.45992346652623	0.465007746446865	0.935036005728816	0.921485341966785	0.634757598382194	0.512800807246333	0.208705033926149	0.207713274502928	0.479633043995312	0.477583012719894	0.948611542547741	0.954492885564823	0.529323059327682	0.599866006989607	0.210614548363832	0.0024552281917966	0.404534950895436	0.584560947429232	0.178654319064382	0.193188061760256	0.447205703736702	0.455263026363473	0.919975506255942	0.885857785501902	0.460173698341784	0.541367433621637	0.184841073509312	0.20665654412355	0.406391803046455	0.416380256491248	0.920426672092249	0.878513186890652	0.522744979785437	0.559692644357474	0.213416780805117	0.0012998266897746	0.386481802426343	0.575895436164067
Pamona	0.0467817408648496	0.0431177983312316	0.158643188016004	0.145790863762917	0.803686590402944	0.674983389196702	0.459980728438314	0.47681395024471	0.0050025911194535	0.004296244909792	0.0309067242814729	0.0220173798009112	0.674379200056984	0.433398978192148	0.463914759769743	0.525522115567803	0.502619865396726	7.2212593876372e-05	0.0966926632004621	0.144352975158868	0.0141236895963916	0.016281723416606	0.0553321037598073	0.0533499437703531	0.716276658417563	0.489622994881688	0.523729471404751	0.4875229898887	0.0055633633535288	0.0053297905092992	0.0315895681505687	0.0234326589383807	0.694564945105943	0.457814993480644	0.470896185971753	0.534843647696059	0.49870672292157	0.0003610629693818	0.104347198151358	0.163633737723859	0.0056816361107436	0.0050131664978455	0.0192524911174774	0.0158576719087972	0.685056239162874	0.436559678828916	0.511579996938568	0.492696150340503	0.0047438021947152	0.0041391948568065	0.030360439108874	0.0220899962823189	0.67300800756184	0.434898132756199	0.467022297154989	0.498260876566217	0.501377650256428	0.0002166377816291	0.0931542461005199	0.146952628538417
SCALEX	0.586419437300496	0.584755082908001	0.706300878715975	0.689065170970565	0.967348636181124	0.969945130722759	0.581367769568667	0.512240377922849	0.243435016853778	0.301630938520359	0.341607864965562	0.374383749417962	0.862647460546199	0.789777851481469	0.498626139811469	0.540621190507658	0.208752070428096	0.0017331022530329	0.442374350086655	0.637059503177354	0.254478060638687	0.333953548869738	0.389407836269847	0.418986153144238	0.896376786967129	0.844037766479148	0.661292666814916	0.55039154268933	0.44884815772279	0.56922296768654	0.57830074653784	0.614748685002978	0.946426707145677	0.936659385430827	0.485756407101413	0.495438195217081	0.22512778834059	0.001372039283651	0.41919410745234	0.609041016753322	0.255660551020636	0.346389970401426	0.356776534244737	0.387662774861114	0.889715697847115	0.826194300293532	0.594688417294908	0.546800612655924	0.207864308276531	0.270436241347415	0.286545047234774	0.319446877124282	0.847800943412049	0.752346155006226	0.502465334891729	0.535322940106134	0.298521095672384	0.0008665511265164	0.306036972848065	0.466782206816869
Seurat v3 CCA	0.444944312604606	0.421419874691373	0.663957177667553	0.626375129755939	0.966129223821849	0.966449712523718	0.5993276388562	0.531830677501864	0.292729969817543	0.333575341781242	0.500636835396485	0.50778754393727	0.94379184315138	0.91495147300211	0.506386869378359	0.561045917083072	0.332734607078386	0.0002888503755054	0.254621606008088	0.437319468515309	0.314002820971153	0.405732429861227	0.396258720906831	0.427598833862487	0.877488017714524	0.794853003147954	0.467742968561699	0.497304816906909	0.38306918957278	0.351248437835345	0.652574219977813	0.625857074295139	0.977051229147156	0.983861102250556	0.477227505669188	0.55203552615935	0.215321831214597	0.001372039283651	0.56210283073368	0.714326978625072	0.312645311808568	0.386302755322692	0.390897804767341	0.416623334149568	0.869710014799086	0.773291646033561	0.468966772797635	0.497011954460436	0.312929363251273	0.351087872978029	0.536874922681156	0.542676550353565	0.947007628892695	0.932848652457228	0.46227849929321	0.510512094949874	0.307606824995386	0.0009387637203928	0.395869439630271	0.565135759676488
