ARI.RNA (ATAC down)	AMI.RNA (ATAC down)	graph cLISI.RNA (ATAC down)	isolated labels ASW.RNA (ATAC down)	ARI level 1.RNA (ATAC down)	AMI level 1.RNA (ATAC down)	graph cLISI level 1.RNA (ATAC down)	isolated labels ASW level 1.RNA (ATAC down)	ARI.ATAC (ATAC down)	AMI.ATAC (ATAC down)	graph cLISI.ATAC (ATAC down)	isolated labels ASW.ATAC (ATAC down)	ARI level 1.ATAC (ATAC down)	AMI level 1.ATAC (ATAC down)	graph cLISI level 1.ATAC (ATAC down)	isolated labels ASW level 1.ATAC (ATAC down)	FOSCTTM (ATAC down)	Cell match (ATAC down)	Cell type match (ATAC down)	Cell type level 1 match (ATAC down)	ARI.RNA (RNA down)	AMI.RNA (RNA down)	graph cLISI.RNA (RNA down)	isolated labels ASW.RNA (RNA down)	ARI level 1.RNA (RNA down)	AMI level 1.RNA (RNA down)	graph cLISI level 1.RNA (RNA down)	isolated labels ASW level 1.RNA (RNA down)	ARI.ATAC (RNA down)	AMI.ATAC (RNA down)	graph cLISI.ATAC (RNA down)	isolated labels ASW.ATAC (RNA down)	ARI level 1.ATAC (RNA down)	AMI level 1.ATAC (RNA down)	graph cLISI level 1.ATAC (RNA down)	isolated labels ASW level 1.ATAC (RNA down)	FOSCTTM (RNA down)	Cell match (RNA down)	Cell type match (RNA down)	Cell type level 1 match (RNA down)	ARI.RNA (Both down)	AMI.RNA (Both down)	graph cLISI.RNA (Both down)	isolated labels ASW.RNA (Both down)	ARI level 1.RNA (Both down)	AMI level 1.RNA (Both down)	graph cLISI level 1.RNA (Both down)	isolated labels ASW level 1.RNA (Both down)	ARI.ATAC (Both down)	AMI.ATAC (Both down)	graph cLISI.ATAC (Both down)	isolated labels ASW.ATAC (Both down)	ARI level 1.ATAC (Both down)	AMI level 1.ATAC (Both down)	graph cLISI level 1.ATAC (Both down)	isolated labels ASW level 1.ATAC (Both down)	FOSCTTM (Both down)	Cell match (Both down)	Cell type match (Both down)	Cell type level 1 match (Both down)
GLUE	0.994496156746305	0.991856057008223	0.998022243154864	0.997407006943572	0.989254063118946	0.99259746667794	0.996400105191776	0.998309259026883	0.947873189589738	0.963932568502449	0.994569229088548	1	1	0.987778808221462	0.993185998652127	0.978827269007728	0.990737233191289	0.830985915492958	0.971053011352703	0.987941919191919	0.880961418653426	0.926424614127672	0.988294988940511	0.975700950202513	0.98265517401768	0.962410942215047	0.986061827092046	0.977920174287602	0.932697613627658	0.984146464685458	0.998384589142254	0.990735461354609	0.959172935322382	0.989133302962347	0.997450028490127	0.997709153892713	0.981705506488006	0.67910447761194	0.946293383148166	0.961631151699645	0.891150393952469	0.934639505294935	0.981449833251268	1	0.998485220447687	0.976128525320928	0.9704949271932	0.981707494463924	0.900492109629108	0.942828024495885	0.985464562216288	0.989053419853168	0.992827408834758	0.976713618854851	0.978029379664276	0.998112618592734	0.961661942188351	0.679245283018868	0.904214746724037	0.94376584953508
LIGER UINMF	0.996378339298748	0.999311596553056	0.998909580046348	0.994850233662725	0.990445373400236	0.99603402972544	0.998406320274982	0.998954917613171	0.874434415072155	0.872177363646133	0.981180660829841	0.910477332839536	0.908345469467545	0.891228918391394	0.963584517068835	0.921479995516678	0.993640715968646	0.937500000000011	1	1	0.794754287910015	0.765536302548308	0.955556298121917	0.878692279985522	0.817431325542059	0.787535586012431	0.920913726622697	0.907988799253035	0.874879212914739	0.923466820473719	0.987301844943359	1	0.917511457862846	0.930791217581018	0.970334204666467	0.944381777186232	0.988127054839212	0.674999999999934	0.913674033149171	0.889698428788647	0.781124182197495	0.74429749325469	0.951640587988706	0.837276502718141	0.777637978987425	0.749104617034514	0.909095851815144	0.908861374676085	0.626291101459221	0.581594540304827	0.909057326301925	0.992514633369148	0.622748315318072	0.583816470087754	0.828819173621728	0.876737761313614	0.979142226311655	0.687500000000011	0.98942843866171	0.942435694945848
LIGER iNMF	0.927345102234991	0.990944540343943	0.998198156971254	0.977195238285791	0.981441658645353	0.997457654912442	0.997078183256704	1	0.865985801678036	0.871291608759526	0.978236464266855	1	0.883501659826164	0.881368657947258	0.957350502031563	0.988100177753647	0.997868462963095	0.854166666666686	0.983179517713605	0.936896551724138	0.677129637288015	0.765776039547163	0.955678356237653	0.831799566163099	0.721041154359244	0.775036902593353	0.919103394670108	0.909133538716757	0.775689636104462	0.786572552648699	0.955548177527583	0.993833957880759	0.772010265900199	0.792330016504907	0.916347362955593	0.94252541595349	0.943732305232735	0.70624999999999	0.903885950793286	0.897541556083252	0.706606819977163	0.773584131661297	0.959708141263168	0.836412830993349	0.760066061645559	0.792408258714711	0.922387245908708	0.90500873852865	0.576521309389218	0.594148931329061	0.910943918512037	0.918575330194415	0.614637904574044	0.605280572523849	0.840213465835589	0.950052601724554	0.898827486048588	0.710526315789466	0.878834706959707	0.85425353059852
LIGER online iNMF	0.993384145519341	1	0.999814672744641	0.939364666611129	0.996473119528192	1	1	0.998851837500353	0.72714713586361	0.751684402917505	0.952044992658697	0.95889505664761	0.756156404608734	0.758026776363427	0.913253945879019	0.978513556733412	0.952462163841833	0.724999999999988	0.922844827586207	0.919980756895446	0.78212808478347	0.757613346245293	0.957393394161717	0.931818660807996	0.786798814155016	0.760864827178813	0.918181524687025	0.91015811264722	0.727113566369694	0.741594393995341	0.945516256902122	0.936388102577035	0.75588365818301	0.743852982282324	0.904505441764653	0.981061380988043	0.918254456889295	0.774999999999988	0.855487915682355	0.857448527651424	0.788680999576271	0.753215507703436	0.952839370483766	0.933371513336518	0.795890531591147	0.760987210187831	0.909048173291032	0.916575868964504	0.563090550416593	0.567762938149152	0.901343176146816	0.964289975615324	0.566885126391212	0.569846612784916	0.818640500270177	0.959612735606008	0.879991715254663	0.740384615384598	0.79625859572928	0.799571785416914
MaxFuse	0.870595659392974	0.92783320219099	0.977528946364633	0.993751810111533	0.949725904581652	0.953593420546899	0.952168339045917	0.970294455622009	0.881024667979439	0.914538163476232	0.984622346703464	0.993542723787942	0.997605082417572	0.956642079729522	0.973796554919024	0.990198260807759	0.930873852184783	0.560344827586207	0.870950666948973	0.918310174809502	0.865503947981499	0.877273681664654	0.97374917380137	0.999993972822541	0.933736481080855	0.915606528964411	0.955861998963554	0.970993448021795	0.995256966373185	0.993723371225515	0.999853751920242	0.996510771449293	1	0.997032694241804	0.999284788173071	0.999809976228469	0.932157382856533	0.564814814814812	0.918131560175278	0.946386255924171	0.814086122168973	0.841127877709507	0.949935547380855	0.98665188595957	0.911754523389968	0.882603352830985	0.909427821554713	0.966981822285391	0.853893850494146	0.908792955561072	0.984990725918874	0.993222616985143	0.950066113743629	0.948169514854682	0.974163662937095	0.996078235212597	0.904675141492943	0.613970588235295	0.829967477968947	0.894507508044333
MultiMAP	0.902536141750642	0.952430095915913	0.995865511368108	0.967503561465995	0.962014425857989	0.964646146562806	0.99506380785321	0.964126303108237	0.876635523204307	0.918329808890255	0.990627499795591	0.942751771950279	0.881404877395932	0.909918611833232	0.973025700958636	0.958203978113206	0.972236370909445	0.770833333333342	0.906581272084806	0.929785202863962	0.91833673272066	0.917049852110462	0.987653871237442	0.958357196157715	0.964170933642922	0.93567139863461	0.97805206343388	0.993547556622447	0.89726026772152	0.959557584425651	0.996599865117559	0.993433233653239	0.908697619951145	0.958267228022966	0.99260022585379	0.979104196144207	0.973402748844306	1	0.894316610084245	0.924246785645749	0.83397678220257	0.908876950926118	0.984901455235321	0.770443836501431	0.894427298573532	0.929801657391468	0.969085344566703	0.979590007447756	0.821586273013708	0.901289128237113	0.989116052121119	0.974917651044952	0.868866593640903	0.903057115101965	0.969771880971178	0.981737864101354	0.976675309390106	0.870689655172418	0.883851965680625	0.918478260869565
Pamona	0.73418899060948	0.766776057917977	0.966339810267072	0.968603296782651	0.723831760553396	0.747041960267023	0.925770624050434	0.998684429892442	0.723365205377498	0.834672127672312	0.96133251526941	0.994009875512874	0.711073002963375	0.795255021252612	0.914792572163746	1	0.999499600590922	0.625	1	1	0.629393692865162	0.660044885373026	0.914822219494532	0.983072715614253	0.668533873456072	0.662603196998203	0.812946462775161	0.973165152151031	0.769482755600866	0.847143228802016	0.97909195734986	0.990701530872888	0.78310089779386	0.824977367569597	0.951733620936473	1	0.998495875516001	0.875	0.989594450373533	0.982668711656442	0.552879021751279	0.565139195129276	0.900609902030301	0.973166809292063	0.548155662995099	0.561670596992158	0.780119707744674	0.967953264032601	0.665614350308209	0.847829910792432	0.958562114369351	0.991569407822592	0.632391071405554	0.813311386113195	0.898282170936376	1	0.999227578079209	0.708333333333339	1	0.997229684351914
SCALEX	0.94022657716774	0.979815468981056	0.997856559669498	0.96216044283524	0.980689614920898	0.985457606786251	0.995894883502796	0.994327111963607	0.750756737872427	0.823792987864134	0.965974481284828	0.981370915832431	0.806848754732455	0.847374465712949	0.937418180262885	0.99731582125498	0.96664369324429	0.681603773584895	0.897510958046337	0.930085151167241	0.772204694222287	0.83093978535969	0.974669900695155	0.994912296817961	0.771017346612271	0.842029197649525	0.953595595800626	0.999567741996886	0.985973613825038	0.990791901276333	0.999330338152045	0.981776523067192	0.983088389516658	0.988703750093804	0.998385354039043	0.974591536244414	0.959521162788044	0.60576923076923	0.882872551450533	0.92138185953938	0.806241434473124	0.842678819735859	0.972756170025212	0.991255971671632	0.901344373051591	0.87937262555183	0.947927873253155	0.997153635051006	0.736865971151327	0.795844920430446	0.962869911048837	0.993172557343355	0.791818694603364	0.824007655909124	0.928905201497854	0.999856947997163	0.925664465521892	0.640624999999992	0.82762938230384	0.861965563938866
SIMBA	1	0.997482787441452	0.99836795292073	0.990002451506194	1	0.996990966741704	0.997246823697284	0.996668427237429	0.811801842588118	0.8471084171855	0.978267763581653	0.941644653709369	0.810363555832557	0.846884885588596	0.960122447142344	0.966409226823558	0.968094007092049	0.643617021276596	0.894625	0.907405669232213	0.825837743130649	0.867424455249402	0.977529249669428	0.969438538570627	0.950645255825371	0.897620819054382	0.960054295430032	0.991277893540521	0.981162529212444	0.97465343996891	0.991700132309193	0.994657441560498	0.990371032449382	0.981013721403434	0.992006581101576	0.978839375052011	0.968107926939773	0.640909090909094	0.888871857755978	0.927324756409044	0.8077763153719	0.835371205521318	0.970902920806284	0.959727743864176	0.906886574851069	0.864569866876626	0.952919132426328	0.994405083411085	0.752801727553485	0.772859940269975	0.962645139117754	0.949416164184891	0.77876407955987	0.778611598707115	0.925820913872047	0.951526771307205	0.917099636133033	0.464999999999993	0.787944240196078	0.836485459038206
Seurat v3 CCA	0.982538062204654	0.994213030908128	0.997767638543042	1	0.987727513961177	0.998756052460022	0.996214608078244	0.999636694495836	0.901170089098263	0.921912304418289	0.988447746830606	0.949665968500957	0.955469783970684	0.940452467116486	0.979890267623172	0.964941533364226	0.926354014681109	0.730392156862744	0.820289698410983	0.86560820928389	0.827467949166977	0.852804859570565	0.963580465955901	0.921192560532081	0.95392146053371	0.90206849474727	0.928784240716868	0.975929299190879	0.953077984498349	0.988787685806495	0.99868918670421	0.986618825341934	0.989430837950955	0.997422516236437	0.999579534517912	0.999173868768149	0.949888982940457	0.711206896551726	0.948018991486575	0.958419958419958	0.905429792660245	0.867309876931418	0.964082928951576	0.920077566306263	0.953604926223968	0.880643995175633	0.927442128905494	0.974835794940683	0.841822745265626	0.925631488347166	0.989412359463084	0.997067897821834	0.923227772922923	0.945552708662068	0.983517557251887	0.943766798448677	0.915233966543692	0.580357142857137	0.862952145585262	0.898174479405559
