ATAC 10%	RNA 10%	Both 10%	ATAC Down AUC	RNA Down AUC	Both Down AUC	Down 10% score	Down AUC score
GLUE	0.879136656975948	0.880422421441149	0.930359687403508	0.934532449131937	0.908167590255052	0.952834830889723	0.896639588606868	0.931844956758904
MaxFuse	0.715693592079848	0.813288894430636	0.742324880438399	0.791110958840408	0.935047319814049	0.861352574375481	0.757102455649628	0.862503617676646
Seurat v3 CCA	0.670090199140199	0.698857411606297	0.666857709240282	0.811440499074537	0.874113974969264	0.845150824240992	0.678601773328926	0.843568432761598
Seurat v4 RPCA	0.664420524897846	0.659944412262711	0.656350773113387	0.896350382786599	0.911477302675882	0.868947481757466	0.660238570091315	0.892258389073316
bindSC	0.588079357735158	0.580518739744764	0.574321416395877	0.843882506147933	0.908833688569895	0.883424600193736	0.580973171291933	0.878713598303855
SCALEX	0.691779265288036	0.707372481909549	0.619900891245999	0.695818146934921	0.83240234686578	0.720510186439152	0.673017546147861	0.749576893413284
MultiMAP	0.606643330641016	0.697466134769042	0.683050693528649	0.697653428434454	0.830261135047924	0.800388492969428	0.662386719646236	0.776101018817268
uniPort	0.637653146438154	0.726895590311596	0.665498895716708	0.813187893573633	0.706310776785591	0.302620262014896	0.676682544155486	0.60737297745804
SIMBA	0.683504459809364	0.756535970100917	0.550345312536928	0.689025009319748	0.858122996732587	0.610274810325771	0.66346191414907	0.719140938792702
LIGER UINMF	0.579047659686573	0.409522576454171	0.158482119746858	0.663471845661378	0.600633284798785	0.2493046297877	0.382350785295867	0.504469920082621
LIGER iNMF	0.627608470998901	0.293433381057973	0.212587614857645	0.803660444572065	0.294618278524339	0.223695999135767	0.377876488971506	0.440658240744057
Pamona	0.0878678403149787	0.111853480029454	0.104986426979984	0.494804773512424	0.472806291558472	0.492905254266724	0.101569249108139	0.48683877311254
unionCom	0.400674961406185	0.384454979423897	0.286403994837357	0.386434450294805	0.30965766522128	0.367314023586619	0.357177978555813	0.354468713034235
LIGER online iNMF	0.470687595617205	0.232999725816558	0.174282505990784	0.577819811098319	0.229888174001547	0.251323917076638	0.292656609141516	0.353010634058835
