ARI ADT	ARI level 1 ADT	AMI ADT	AMI level 1 ADT	graph cLISI ADT	graph cLISI level 1 ADT	isolated labels ASW ADT	isolated labels ASW level 1 ADT	ARI RNA	ARI level 1 RNA	AMI RNA	AMI level 1 RNA	graph cLISI RNA	graph cLISI level 1 RNA	isolated labels ASW RNA	isolated labels ASW level 1 RNA	ARI Both	ARI level 1 Both	AMI Both	AMI level 1 Both	graph cLISI Both	graph cLISI level 1 Both	isolated labels ASW Both	isolated labels ASW level 1 Both
bindSC	0.512405988100061	0.53141886475052	0.727505293291654	0.723107991183035	0.984152376405733	0.992450233129701	0.554357334971428	0.560873304493725	0.463493458651061	0.518177822528194	0.699580563095729	0.717179610693318	0.982781789799866	0.992940760844598	0.566210885842641	0.558221830427647	0.655978190714096	0.743804392040204	0.684727808884048	0.734367956305259	0.978002272556553	0.983146975223977	0.534954010198514	0.545257601159392
CiteFuse	0	0	-1.61619891534381e-15	-2.28771776370768e-12	0.955572818778743	0.814665020644222	NA	NA	0	0	-1.61619891534381e-15	-2.28771776370768e-12	0.960919387322005	0.833458011162207	NA	NA	0	0	-1.61619891534381e-15	-2.28771776370768e-12	0.962631775401699	0.855725936493743	NA	NA
MaxFuse	0.476487112414914	0.4863760886407	0.730356476399595	0.711555316330765	0.98435101907845	0.991881693945223	0.56116939894855	0.538994444720447	0.69352587576409	0.673089239240536	0.711985896950755	0.720158172923712	0.978026135970566	0.98216839196071	0.526381505342821	0.527523637731792	0.687558057597254	0.691211440433779	0.697046459975973	0.704761943890978	0.973574402830151	0.972462932252127	0.51957397783796	0.521613893238828
MOFA+	0.362873239636406	0.350759071993552	0.675871895461873	0.647876920904581	0.983446724543646	0.992916437153581	0.596409020324548	0.541656232532114	0.362106714487987	0.347291673524949	0.66351800553256	0.654753933672194	0.987643287963099	0.996197380419723	0.590205007543167	0.567792010819539	0.367211320879459	0.358144979258196	0.618953292112434	0.626365684316421	0.98021679768593	0.992070902236535	0.586103245615959	0.537613847479224
Multigrate	0.399858784879034	0.353542814999922	0.672279628577516	0.635186486769266	0.983295958386174	0.995070629493523	0.586425464600325	0.583916819072329	0.348699737677256	0.317153313608888	0.651321895500061	0.626570482852313	0.986036686109626	0.993864240363094	0.632446646690369	0.575677275285125	0.324381518909531	0.304844165435348	0.647214021510152	0.629208396477865	0.983809973876809	0.992380944231573	0.580220897992452	0.576815063692629
SCALEX	0.391173921460717	0.438613605665853	0.694709147173505	0.68933025721613	0.985500844077185	0.993836788861729	0.592563810447852	0.577853898424655	0.41709214111881	0.558771959543267	0.657301957886417	0.710996071261949	0.973812784397587	0.988201706294736	0.508934366206328	0.585166129563004	0.509239703949678	0.560120717843226	0.664967981712594	0.70101707646969	0.975727965609889	0.986062292803921	0.520132978757223	0.566569040995091
sciPENN	0.583160649557559	0.628833119385961	0.660267692045605	0.682307104306754	0.953831403238237	0.913790249816936	0.505892209863911	0.494689222425222	0.17877757834658	0.220013918402747	0.178657523809491	0.207617262533459	0.889672056078874	0.66549455625985	0.440296344459057	0.466284836363047	0.186820329602145	0.233007547801994	0.165105173332745	0.190757952555518	0.892557999747729	0.67207181927574	0.447991681595643	0.463220613449812
scMDC	0.455347792664719	0.440137515446355	0.731353079315996	0.691977007214492	0.992168747457599	0.998703239696765	0.618608524401983	0.611027897149324	0.40250546002659	0.45222267480287	0.697257517869289	0.698412997674732	0.988419110777356	0.998664470033784	0.571387057503065	0.622641146928072	0.480298766474335	0.487839167991612	0.716994466641221	0.699350461634029	0.987969996439902	0.997125567610265	0.50807861238718	0.575895329192281
Seurat v4 WNN	0.410875752879427	0.380368597121178	0.695493575570451	0.670034339202419	0.98695146695251	0.994447914497883	NA	NA	0.388753778286259	0.351843643722606	0.656793122689775	0.639579689732629	0.982363884065559	0.991234340659585	NA	NA	0.513088607306228	0.466251630876302	0.66071630652902	0.652744537693347	0.979652433946671	0.988166589826341	NA	NA
totalVI	0.422735810837546	0.387664448041324	0.684525748997721	0.661781294886265	0.98585834448441	0.993383821426339	0.570957245926062	0.538547427114099	0.377010802921366	0.346072929445454	0.63343231228006	0.619513465636259	0.983413536014348	0.990947792028637	0.546867380539576	0.531460357620381	0.524899618867033	0.501183318100884	0.667156690479101	0.660422022408939	0.979049452290113	0.981696374783162	0.506074838340282	0.529512965877075
