ARI ADT	AMI ADT	graph cLISI ADT	isolated labels ASW ADT	ARI level 1 ADT	AMI level 1 ADT	graph cLISI level 1 ADT	isolated labels ASW level 1 ADT	ARI RNA	AMI RNA	graph cLISI RNA	isolated labels ASW RNA	ARI level 1 RNA	AMI level 1 RNA	graph cLISI level 1 RNA	isolated labels ASW level 1 RNA	ARI Both	AMI Both	graph cLISI Both	isolated labels ASW Both	ARI level 1 Both	AMI level 1 Both	graph cLISI level 1 Both	isolated labels ASW level 1 Both
CiteFuse	NA	1	0.998231126578592	NA	NA	1	0.990398401399882	NA	NA	1	0.99898430331364	NA	NA	1	0.99952052374635	NA	NA	1	0.999260600469721	NA	NA	1	0.99334097262977	NA
MOFA+	0.964177367790166	0.985652469491996	0.999659898970596	0.994967422497588	0.972208803836579	0.986333895981185	0.998537360583016	0.988247473750934	0.975739995060137	0.998073657173408	1	0.936111855614451	0.976802757210425	0.999328607451838	0.999658356279359	0.997590132380333	1	0.991518263962896	0.999207580671507	0.9288968802881	1	1	0.998524725424918	0.984374791110987
MaxFuse	0.977949525722131	0.986437355992544	0.998932806137262	0.993740863300465	0.970422952114986	0.983195786371706	0.999045961107517	0.992850368587951	0.96688935473779	0.982123067466532	0.996116530839902	0.957984863400575	0.9817137102392	0.994037082474157	0.996757793036069	0.982107827232886	0.999020591415275	0.986800387376758	0.995656523994464	0.94621924228681	0.993295521881843	0.993292758504483	0.994696072672448	0.987814629364625
Multigrate	0.963724317010275	0.991915168414771	0.999507384521568	0.926779362250394	0.988338231742841	0.996638432425645	0.999329296565334	1	0.979998210793595	0.992453425558801	1	0.990487015396968	1	1	1	0.997474310814951	0.970091923338623	0.974457842923348	0.999585358898721	0.976361720730791	0.979331307841639	0.98548543927239	0.999628420095818	0.984128327360268
SCALEX	0.936199406141187	0.983896414649344	0.999727841680212	0.991743320270811	0.997295134263457	1	0.999839687709566	0.996286054687072	1	0.980790166409667	0.996057686561292	0.936322318524648	1	1	0.997981459350389	0.998915129715245	1	0.982723970248849	0.996882518567946	0.941617609346937	1	1	0.998483706999738	0.993947681242844
Seurat v4 WNN	1	0.998686899407113	0.999786192906272	NA	0.992882635547421	0.998765207970043	0.998921494185535	NA	0.969519980895199	0.97895325035072	0.998285103409363	NA	0.962111770373322	0.987692825843941	0.998767901389991	NA	0.982661853057444	0.980392188578478	0.996844417755177	NA	0.988950572828641	0.98729929014459	0.997011057444715	NA
bindSC	1	1	0.998011601263218	0.979140116444158	1	1	0.998684860007287	0.989810555504608	0.977800919884377	0.991975313859971	0.998361304128037	0.996095614454064	1	1	0.998836538284413	0.989516903726078	1	0.980813829763634	0.996793871550927	0.973206434479742	1	1	0.996444342174828	0.980436484020951
scMDC	1	1	1	0.934710841751738	0.99867165734686	0.999791959113614	1	1	0.954496719668405	0.976411727876547	0.997606423470524	0.978728087887487	0.994191481851336	0.996980922124278	0.999955167399657	0.982622868033196	1	1	0.999442445936393	0.816635935605595	1	1	0.999637988900312	0.97951493079855
sciPENN	0.988363727519962	0.998244998448304	0.999560572553266	0.99573708737412	0.990063394969853	0.997535396443817	0.995131100332097	0.999698440412773	0.676884217468376	0.674847588790686	0.968181092682741	0.958940932800371	0.723853806381846	0.703271981394528	0.878606125036487	0.976236319383797	0.651215511542011	0.663923188677406	0.978164740123945	0.957321584493283	0.689096339265886	0.676084325102474	0.883239045068568	0.975449144710615
totalVI	0.973352125319772	0.994525097326955	0.999731616995458	0.996359453232951	0.985273287573012	0.997922196613289	0.999924303246602	0.996817498059792	0.997680738799713	0.994823832732611	0.999267281818385	0.966395545165142	1	1	0.999530271139464	0.995043583248239	0.977181147050154	0.992569272936054	0.996919033653441	0.952858529153454	0.994222565244124	0.999058758632213	0.995321239066777	0.99083247680834
