ADT 10% depth	scRNA 10% depth	Both modalities 10%  depth	ADT Downsample AUC	scRNA Downsample AUC	Both Downsample AUC	Downsample 10% score	Downsample AUC score
Seurat v4 WNN	0.837968006440379	0.801707517057968	0.844786403710668	0.897414500156597	0.933035773502881	0.94444508252655	0.828153975736338	0.924965118728676
scMDC	0.929712887689027	0.860448209007283	0.841713494923238	0.882087387394495	0.833987072935163	0.776639732513337	0.87729153053985	0.830904730947665
bindSC	0.8092855989614	0.823203214515483	0.889179652017932	0.718569205561948	0.928890821695668	0.879376168106515	0.840556155164938	0.842278731788044
SCALEX	0.81936075323202	0.785031761246265	0.830690259901334	0.67157796565058	0.850487838600481	0.949371940109121	0.81169425812654	0.823812581453394
Multigrate	0.784474722099881	0.802490784480099	0.817540389303857	0.627180452682058	0.969731792188473	0.899507552503197	0.801501965294612	0.83213993245791
totalVI	0.744159496494973	0.71316220007143	0.766276594712075	0.775892014859125	0.910519816302312	0.926733364382408	0.74119943042616	0.871048398514615
MaxFuse	0.77543127076662	0.835613798175491	0.833343541206705	0.441264556337165	0.778877705658083	0.896189780758969	0.814796203382939	0.705444014251406
MOFA+	0.743494385202872	0.786662969771387	0.786233604983005	0.431414089470117	0.846436145716185	0.891612887715167	0.772130319985754	0.72315437430049
CiteFuse	0.00757057979178231	0.204275167367096	0.216571624466039	0.527600766299143	0.991032268858249	0.982685102808926	0.142805790541639	0.833772712655439
sciPENN	0.548123847044295	0.140484370489744	0.134376531470627	0.807914818241949	0.0475734549391981	0.11009935620086	0.274328249668222	0.321862543127336
