ARI ATAC	ARI level 1 ATAC	AMI ATAC	AMI level 1 ATAC	graph cLISI ATAC	graph cLISI level 1 ATAC	isolated labels ASW ATAC	isolated labels ASW level 1 ATAC	ARI RNA	ARI level 1 RNA	AMI RNA	AMI level 1 RNA	graph cLISI RNA	graph cLISI level 1 RNA	isolated labels ASW RNA	isolated labels ASW level 1 RNA	ARI Both	ARI level 1 Both	AMI Both	AMI level 1 Both	graph cLISI Both	graph cLISI level 1 Both	isolated labels ASW Both	isolated labels ASW level 1 Both
cobolt	0.417164707954309	0.484199595535587	0.587518044826344	0.603565503411286	0.952252252988743	0.946523131460828	0.454970382153988	0.582255013287067	0.307503784842542	0.346228966255827	0.548186611857931	0.557209435292069	0.95229639325449	0.952949899516224	0.369929879903793	0.5531568787992	0.237565883152053	0.265496304930803	0.47538646954665	0.499521382756124	0.917109712052931	0.905208560559748	0.29269215464592	0.495444279164076
DCCA	0.456415024069881	0.421833411490364	0.668759159382295	0.631999921657277	0.974448183822981	0.980410636811024	0.536334972828627	0.576845966279507	0.324056435968566	0.381365797031576	0.521699842388188	0.550822141834986	0.94125689619137	0.928483780169533	0.578579925000668	0.596053414046764	0.455094399641584	0.492450133782993	0.602725502387728	0.606080323094954	0.947512641367239	0.932536063789092	0.579419359564781	0.528007686138153
MOFA+	0.399417457998991	0.395042204522825	0.624288468301275	0.59987096312189	0.9635554189192	0.963034131497728	0.569455802440643	0.61792865395546	0.405132943129024	0.433429206685496	0.628027287866027	0.625811059501209	0.966473507297437	0.969493845100864	0.537222035229206	0.589340843260288	0.259989991276559	0.29976352407281	0.479169310171031	0.502485725037539	0.916727355374026	0.887426752103739	0.522435521706939	0.625085756182671
Multigrate	0.580882911881369	0.499610727071072	0.715989923743627	0.668688502906898	0.977753938196251	0.979983723464697	0.460462220013142	0.49032340105623	0.372594928984515	0.440067770926387	0.570198225964567	0.588926141397984	0.943918488155512	0.934430882497244	0.447350326925516	0.48348980024457	0.400401232373761	0.490646615838604	0.527810931794373	0.567482854824331	0.912720437821482	0.871721329904472	0.410394981503487	0.477319613099098
MultiVI	0.324246282772287	0.329941136952577	0.545105681904196	0.546257729587811	0.950172529123384	0.936071524358094	0.411931380629539	0.539152301847935	0.226747030959713	0.228357898122146	0.482400293781751	0.480024840916887	0.925489665522694	0.878266702279103	0.309400126338005	0.554266285151243	0.176730515715478	0.182496910190591	0.341355888513169	0.354871310257194	0.862531776062468	0.783706664770779	0.355160713195801	0.483050605282187
scAI	0.487612430803635	0.471575715330929	0.701408107228586	0.666971759179211	0.980533644422498	0.983449310457794	0.67156195640564	0.559942830353975	0.175884548370696	0.216167298066952	0.312974572519756	0.327730153150392	0.87965202992538	0.817067736659219	0.584843069314957	0.546183839440346	0.106741458225612	0.132173653375412	0.279454491015957	0.28154690896592	0.879221702345052	0.809895382015943	0.593213461339474	0.533660642802715
scDEC	0.358665269508371	0.421606238712484	0.601217259695483	0.605278099774503	0.957616054334688	0.9625471462897	0.6384616792202	0.447071745991707	0.360820291521547	0.410397933812123	0.508572573743187	0.532744327014957	0.938941976074151	0.910961395310781	0.436521209776402	0.477542879059911	0.251894728647216	0.307453063939675	0.4119423094922	0.436386294521579	0.896478163366517	0.842605109590763	0.448249898850918	0.490197602659464
scMDC	0.601235161104536	0.588302297338522	0.720977977721344	0.698090974530324	0.981169334685472	0.982675983693025	0.385182194411755	0.494519861415029	0.478373731057943	0.542189426249305	0.649546860593873	0.656835928123667	0.958693827552375	0.947785072408017	0.141116321086883	0.54761728271842	0.425686908584928	0.518208851499517	0.583425198359921	0.61861150609111	0.934726507302138	0.897946903262986	0.489158837124705	0.627323344349861
scMVAE	0.445595871359167	0.503194624379535	0.653742770575201	0.657435202783217	0.956894450595225	0.9493895982586	0.684435561299324	0.614432714879513	0.348220628871029	0.401427622724599	0.533590273582162	0.560976634630172	0.92358530411427	0.88617998216605	0.609792210161686	0.585993982851505	0.330109105098667	0.450432425594834	0.500162108610484	0.546943258958154	0.911242582868658	0.861002715462755	0.613443948328495	0.579369686543941
scMVP	0.520753392771504	0.531290194283261	0.715916112105971	0.697140474938746	0.979173517300937	0.985743683545996	0.615323558449745	0.501218515913934	0.507478970337927	0.61635110156054	0.691870228128723	0.717170615127686	0.954830284745557	0.951175450865689	0.477497830986977	0.501382625079714	0.47024033285747	0.606364631827426	0.632242857788584	0.694157036117336	0.927461473379708	0.891244688370037	0.484087318181992	0.466266442090273
Seurat v4 WNN	0.55367749761078	0.46757701179715	0.714997400468528	0.663126658948203	0.984296244027497	0.985748305685924	NA	NA	0.590735590747786	0.529679896420331	0.732931337976556	0.698089083500003	0.982465900732529	0.985368736567666	NA	NA	0.512097504300954	0.527202737822899	0.631356685512011	0.624393153076257	0.957658637495204	0.951792271243146	NA	NA
uniPort	0.391048244097765	0.428716415771108	0.574977836720743	0.586362775138056	0.947932988833207	0.934669238985667	0.486584363505244	0.48396734893322	0.0005381718393061	0.0004339610436603	0.0021328008493349	0.0007225355422532	0.682762336702262	0.438979613576882	0.400806210935116	0.439377345144749	0.0036727381944678	0.0052334830432258	0.0041408494514453	0.0054655390083733	0.687273030187174	0.437593817162664	0.417262725532055	0.428815305233002
