ARI ATAC	AMI ATAC	graph cLISI ATAC	isolated labels ASW ATAC	ARI level 1 ATAC	AMI level 1 ATAC	graph cLISI level 1 ATAC	isolated labels ASW level 1 ATAC	ARI RNA	AMI RNA	graph cLISI RNA	isolated labels ASW RNA	ARI level 1 RNA	AMI level 1 RNA	graph cLISI level 1 RNA	isolated labels ASW level 1 RNA	ARI Both	AMI Both	graph cLISI Both	isolated labels ASW Both	ARI level 1 Both	AMI level 1 Both	graph cLISI level 1 Both	isolated labels ASW level 1 Both
DCCA	0.976995662148274	0.997975306700552	1	0.978810346695847	0.983903362274533	1	1	0.962053355058051	0.92230851589047	0.937344118429706	0.993022794858197	0.969981885658791	0.96764733318191	0.963595753207618	0.987465611938662	0.972457516037307	1	0.991187892250582	0.996786905752636	0.945002549966137	1	0.996279349023135	0.991917338156688	0.928724520721097
MOFA+	1	1	1	0.823179506301219	0.964481599919631	1	0.999371331078523	1	1	1	1	0.800820398294002	0.912642247804916	0.991053658936045	1	1	0.961901492118541	0.971117101379385	0.994924710810052	0.793066272956781	0.890782210332567	0.967299809475349	0.988158519276605	1
MultiVI	0.982342164846819	0.984732323397829	0.998511786458226	0.875845022340721	0.991232020190664	0.991408906886702	0.998472187406909	0.942080707095895	0.850557810126141	0.948461669877886	0.993000922208171	0.806106995316354	0.874788126797767	0.9544806360222	0.987688458276009	0.956087463688488	0.814325709028941	0.894074784715707	0.977633520043352	0.658713996901083	0.829673378195081	0.906522703866101	0.96054059675287	0.885756663695767
Multigrate	1	1	1	0.988317453395438	1	1	0.99988425999426	1	0.966880383315397	0.96361427764811	0.988403602349425	0.953033379061274	0.991927037686266	0.97020953103709	0.985739718371096	1	0.976201666561886	0.960083904839261	0.985375335927436	0.94392401666419	1	0.979938112359075	0.976581240225172	0.992335590641852
Seurat v4 WNN	0.935484608413107	0.981110549140859	0.999061772299264	NA	0.965316074737579	0.993432140145664	0.998706933906341	NA	0.979450601755638	0.991225611269316	0.998641620487714	NA	0.995028540175197	0.998300768943	0.998212544027351	NA	0.961913749150439	0.96230969496156	0.992602849370996	NA	1	0.983878452892306	0.991525404779186	NA
cobolt	0.979051144455069	0.999141722321598	0.99854513913093	0.985838965475175	0.966134592017167	0.988963440209984	0.995232099183179	0.982385918330334	0.94956218386168	0.97899226795417	0.998666183559242	0.864545215129125	0.896348738124265	0.96766723187996	0.997756082505634	0.970333112613248	0.934881145615666	0.952039201788887	0.989886298447117	0.83367284975379	0.891306075944023	0.953480077453563	0.985588380460108	0.917857773165347
scAI	0.970895927178307	0.993449321589161	1	0.99949684955495	0.978078852587861	0.994787967961964	1	0.999163587241151	0.891137609811631	0.890489925121646	0.978219740532715	0.958108049173595	0.934161172714309	0.922261794886471	0.966619726899477	0.983731627385552	0.891745916504479	0.893234672531413	0.97933469698405	0.953856919694259	0.914691748206232	0.909462684365144	0.964545209951754	0.988444237418079
scDEC	1	1	1	1	0.954004941434232	0.997032655184521	1	0.984527174303261	1	0.995722834864064	1	1	0.945378256543506	0.980819700547361	1	0.977707621243398	0.975688081527873	0.96453189215742	0.99635417322284	1	0.929274036841245	0.940981149439148	0.991572410841907	0.974870188067164
scMDC	0.995719795046014	0.998346242498034	0.999540478345733	0.925713753877489	1	1	0.999310853366004	0.729252648054262	0.975562889862971	0.981443124828228	0.991937015024038	0.73161614595866	1	0.996006327264956	0.99027883311221	1	0.922968607962995	0.93941732326889	0.985491589484809	0.847007877047419	0.974911756002411	0.972830461200109	0.97780540707348	0.99289811691624
scMVAE	1	1	1	0.997300214813432	0.975696050768935	1	0.999546367886209	1	0.96567270328487	0.951788125643772	0.990990278167926	0.980347258862128	0.939752538728622	0.966344130710331	0.979276861407646	0.99497151807567	0.969843444141189	0.961034702393855	0.988824618914725	0.978892987420798	0.961154838141657	0.96542351412291	0.974414934569901	0.99297574071493
scMVP	0.962594081440202	0.990720586943836	0.998080124199097	1	0.971294160385955	0.991623563201192	0.998843854678006	0.977588579630706	0.997803304581492	0.990383354591475	0.990372425658697	0.966242215391591	1	1	0.99000336701594	0.972792253445097	0.978745281961615	0.973998821935916	0.985940385741472	0.962604743652413	1	0.999264454175306	0.980523008200486	0.958290679002149
uniPort	0.779759722749114	0.852145553622022	0.985545094626733	0.938770084837022	0.84329727943991	0.880665711668265	0.971393509902369	1	0.411009602101875	0.503381087885294	0.883052942094753	0.874657231105176	0.441424694642719	0.526367126168077	0.778187611324792	0.981153351707031	0.44570327349868	0.50917970547692	0.877902808058138	0.836516178718683	0.477217424633972	0.528523255042853	0.768279368587691	0.993131499785032
