scATAC 10% depth	scRNA 10% depth	Both modalities 10%  depth	scATAC Downsample AUC	scRNA Downsample AUC	Both Downsample AUC	Downsample 10% score	Downsample AUC score
Seurat v4 WNN	0.84945753076547	0.972107924486407	0.960933620510807	0.865471451181374	0.985880150164165	0.966957537080804	0.927499691920895	0.939436379475448
scMVP	0.799841056172633	0.845179918315148	0.809201334326061	0.90725107071733	0.888017845448208	0.913642966364238	0.818074102937947	0.902970627509926
scMVAE	0.621599612752024	0.78839503319537	0.796101319377348	0.976722241127046	0.913439380714813	0.933534528764419	0.735365321774914	0.941232050202093
DCCA	0.62374526835738	0.792149749840887	0.855267114861249	0.939892743546524	0.843989621189394	0.901077404793394	0.757054044353172	0.894986589843104
Multigrate	0.696645008057091	0.706951478237611	0.690873928927552	0.991235496372707	0.931838026903546	0.931939955725345	0.698156805074085	0.9516711596672
scMDC	0.76644593457925	0.754205604566691	0.864870682366483	0.811672218749493	0.849992508303194	0.87261502003237	0.795174073837475	0.844759915695019
MOFA+	0.490926442860085	0.854671190338052	0.737564371079886	0.843920315749597	0.885321607940543	0.871750142706734	0.694387334759341	0.866997355465624
scAI	0.786360586452536	0.563316144871754	0.519017411898305	0.954255929340992	0.806170996366148	0.842748030903387	0.622898047740865	0.867724985536842
scDEC	0.355657412980139	0.66301561791033	0.577689966773183	0.953058459017581	0.918181199607268	0.927073521269461	0.532120999221217	0.93277105996477
cobolt	0.365797894486107	0.707486713520287	0.55696620092191	0.897251939851275	0.802052204888508	0.775426925948131	0.543416936309435	0.824910356895971
MultiVI	0.089670176343088	0.598217235733594	0.433594202750635	0.82702230638568	0.685553326232474	0.579915004198406	0.373827204942439	0.697496878938853
uniPort	0.201533988490183	0.069261587778944	0.0485463266845413	0.206714636209473	0.137973245580639	0.182606924905428	0.106447300984556	0.17576493556518
